id,怪物名称,出生点,出生范围,怪物数量,移动范围
前4位对应地图id前四位，第五六位区分1小怪/2boss，后2位对应怪物编号,1是普通怪2是boss,x#y,x#y,填坐标2后可填，表示区域内怪物数量,移动范围至少要大于等于出生范围
uint#id,string#name,string#positon,uint#bornRange,uint#total,uint#bornDistance
id,name,position,bornRange,total,bornDistance
22401,正邪战场精英1,29#101,1,1,0
22401,正邪战场精英1,32#84,1,1,0
22401,正邪战场精英1,49#44,1,1,0
22401,正邪战场精英1,68#72,1,1,0
22401,正邪战场精英1,21#69,1,1,0
22401,正邪战场精英1,101#19,1,1,0
22401,正邪战场精英1,93#35,1,1,0
22401,正邪战场精英1,101#58,1,1,0
22401,正邪战场精英1,79#43,1,1,0
22401,正邪战场精英1,85#75,1,1,0
