id,怪物名称,出生点,出生范围,怪物数量,移动范围
前4位对应地图id前四位，第五六位区分1小怪/2boss，后2位对应怪物编号,1是普通怪2是boss,x#y,x#y,填坐标2后可填，表示区域内怪物数量,移动范围至少要大于等于出生范围
uint#id,string#name,string#positon,uint#bornRange,uint#total,uint#bornDistance
id,name,position,bornRange,total,bornDistance
202101,血影魔剑,76#36,1,1,0
202101,血影魔剑,81#32,1,1,0
202151,血影魔剑(勇士),87#37,1,1,0
202101,血影魔剑,82#38,1,1,0
202101,血影魔剑,76#44,1,1,0
202151,血影魔剑(勇士),76#49,1,1,0
202101,血影魔剑,79#54,1,1,0
202151,血影魔剑(勇士),95#56,1,1,0
202101,血影魔剑,94#51,1,1,0
202101,血影魔剑,94#51,1,1,0
202101,血影魔剑,90#56,1,1,0
202151,血影魔剑(勇士),82#49,1,1,0
202101,血影魔剑,86#45,1,1,0
202101,血影魔剑,92#42,1,1,0
202101,血影魔剑,87#63,1,1,0
202151,血影魔剑(勇士),96#61,1,1,0
202101,血影魔剑,92#65,1,1,0
202102,冥狱金刚,89#108,1,1,0
202102,冥狱金刚,88#102,1,1,0
202102,冥狱金刚,83#108,1,1,0
202102,冥狱金刚,79#105,1,1,0
202152,冥狱金刚(勇士),74#117,1,1,0
202102,冥狱金刚,78#110,1,1,0
202152,冥狱金刚(勇士),86#112,1,1,0
202102,冥狱金刚,86#97,1,1,0
202102,冥狱金刚,90#93,1,1,0
202152,冥狱金刚(勇士),87#90,1,1,0
202102,冥狱金刚,92#84,1,1,0
202102,冥狱金刚,87#84,1,1,0
202102,冥狱金刚,87#84,1,1,0
202152,冥狱金刚(勇士),84#120,1,1,0
202102,冥狱金刚,79#116,1,1,0
